epoch;loss_train;acc_train;acc_valid;min
1;1.1372853517532349;35.06371307373047;99.35043334960938;1.68
2;1.0374540090560913;48.28681564331055;99.83973693847656;0.2
3;0.9740887880325317;70.27251434326172;99.8941879272461;0.2
4;0.9124121069908142;89.6487808227539;99.89409637451172;0.2
5;0.8519362211227417;96.17671966552734;99.886962890625;0.2
6;0.7914178371429443;97.6169662475586;99.87993621826172;0.2
7;0.7310007810592651;98.33100891113281;99.87489318847656;0.2
8;0.6709737777709961;98.7979507446289;99.76685333251953;0.2
9;0.6118897199630737;99.11792755126953;99.69342803955078;0.2
10;0.554398775100708;99.37049865722656;99.31920623779297;0.2
11;0.498238742351532;99.5575180053711;98.6869888305664;0.2
12;0.4447227120399475;99.67781066894531;99.5447006225586;0.2
13;0.3947177529335022;99.7380142211914;99.67675018310547;0.2
14;0.34710678458213806;99.79603576660156;99.83935546875;0.2
15;0.3034418523311615;99.8219985961914;99.88519287109375;0.2
16;0.2635204792022705;99.83536529541016;99.8922119140625;0.2
17;0.22712703049182892;99.841796875;99.89454650878906;0.21
18;0.19479979574680328;99.84416961669922;99.89484405517578;0.2
19;0.16575059294700623;99.84548950195312;99.8951644897461;0.21
20;0.14047729969024658;99.8459701538086;99.89521789550781;0.2
21;0.11849533766508102;99.84614562988281;99.8952407836914;0.21
22;0.09948194772005081;99.84632110595703;99.8952407836914;0.21
23;0.08334947377443314;99.84636688232422;99.8952407836914;0.21
24;0.06953364610671997;99.84640502929688;99.8952407836914;0.21
25;0.05805198848247528;99.84642028808594;99.8952407836914;0.21
26;0.04844401776790619;99.84642028808594;99.8952407836914;0.21
27;0.04056420549750328;99.84642028808594;99.8952407836914;0.21
28;0.034050747752189636;99.84642028808594;99.8952407836914;0.21
29;0.028755225241184235;99.84642028808594;99.8952407836914;0.21
30;0.02448427490890026;99.84642028808594;99.8952407836914;0.21
31;0.021017514169216156;99.84642028808594;99.8952407836914;0.21
32;0.01825602725148201;99.84642028808594;99.8952407836914;0.21
33;0.01602715253829956;99.84648132324219;99.8952407836914;0.21
34;0.014209304936230183;99.84716796875;99.8952407836914;0.21
35;0.012772000394761562;99.84788513183594;99.8952407836914;0.21
36;0.011571940034627914;99.84979248046875;99.8952407836914;0.21
